t_ms,neuron_id,field,value
4,34,Vm_mV,-60.0
5,0,Vm_mV,-60.0
5,1,Vm_mV,-60.0
5,2,Vm_mV,-60.0
5,3,Vm_mV,-60.0
5,4,Vm_mV,-60.0
5,5,Vm_mV,-60.0
5,6,Vm_mV,-60.0
5,7,Vm_mV,-60.0
5,8,Vm_mV,-60.0
5,9,Vm_mV,-60.0
5,10,Vm_mV,-60.0
5,11,Vm_mV,-60.0
5,12,Vm_mV,-60.0
5,13,Vm_mV,-60.0
5,14,Vm_mV,-60.0
5,15,Vm_mV,-60.0
5,16,Vm_mV,-60.0
5,17,Vm_mV,-60.0
5,18,Vm_mV,-60.0
5,19,Vm_mV,-60.0
5,20,Vm_mV,-60.0
5,21,Vm_mV,-60.0
5,22,Vm_mV,-60.0
5,23,Vm_mV,-60.0
5,24,Vm_mV,-60.0
5,25,Vm_mV,-60.0
5,26,Vm_mV,-60.0
5,27,Vm_mV,-60.0
5,28,Vm_mV,-60.0
5,29,Vm_mV,-60.0
5,30,Vm_mV,-60.0
5,31,Vm_mV,-60.0
5,32,Vm_mV,-60.0
5,33,Vm_mV,-60.0
5,34,Vm_mV,-60.0
6,0,Vm_mV,-60.0
6,1,Vm_mV,-60.0
6,2,Vm_mV,-60.0
6,3,Vm_mV,-60.0
6,4,Vm_mV,-60.0
6,5,Vm_mV,-60.0
6,6,Vm_mV,-60.0
6,7,Vm_mV,-60.0
6,8,Vm_mV,-60.0
6,9,Vm_mV,-60.0
6,10,Vm_mV,-60.0
6,11,Vm_mV,-60.0
6,12,Vm_mV,-60.0
6,13,Vm_mV,-60.0
6,14,Vm_mV,-60.0
6,15,Vm_mV,-60.0
6,16,Vm_mV,-60.0
6,17,Vm_mV,-60.0
6,18,Vm_mV,-60.0
6,19,Vm_mV,-60.0
6,20,Vm_mV,-60.0
6,21,Vm_mV,-60.0
6,22,Vm_mV,-60.0
6,23,Vm_mV,-60.0
6,24,Vm_mV,-60.0
6,25,Vm_mV,-60.0
6,26,Vm_mV,-60.0
6,27,Vm_mV,-60.0
6,28,Vm_mV,-60.0
6,29,Vm_mV,-60.0
6,30,Vm_mV,-60.0
6,31,Vm_mV,-60.0
6,32,Vm_mV,-60.0
6,33,Vm_mV,-60.0
6,34,Vm_mV,-60.0
7,0,Vm_mV,-60.0
7,1,Vm_mV,-60.0
7,2,Vm_mV,-60.0
7,3,Vm_mV,-60.0
7,4,Vm_mV,-60.0
7,5,Vm_mV,-60.0
7,6,Vm_mV,-60.0
7,7,Vm_mV,-60.0
7,8,Vm_mV,-60.0
