,cpu_percent,cpu_percent,memory_percent,memory_percent,disk_io_read_bytes,disk_io_write_bytes
,mean,max,mean,max,sum,sum
run_id,,,,,,
run_01,7.98,27.0,1.82,1.9,0,540672
run_02,70.78,100.0,12.86,17.0,0,426893312
run_03,69.09,100.0,13.84,17.0,24576,893308928
run_04,74.08,100.0,13.13,17.0,8192,486719488
run_05,70.84,100.0,13.06,17.0,0,380088320
run_06,72.6,100.0,13.45,17.0,0,243961856
run_07,70.51,100.0,13.2,17.0,0,266133504
run_08,71.24,100.0,13.34,17.0,4096,384196608
run_09,70.62,100.0,13.19,17.0,4096,400437248
run_10,72.3,100.0,13.44,17.0,20480,911138816
